state	program	spending
Arkansas	Livestock Forage Disaster Program	206152261
Arkansas	Emergency Livestock Feed Assistance	65026080
Arkansas	Livestock Compensation Program	26568599
Arkansas	Livestock Emergency Assistance Program	19484176
Arkansas	Livestock Indemnity Payments	9263580
Arkansas	Market Facilitation Program - Dairy and Hogs	1006189
Arkansas	Market Facilitation Program - Hogs	250892
Arkansas	Small Hog Operation	177247
Arkansas	Livestock Indemnity-contract Growers	168181
Arkansas	Livestock Indemnity Prog - Authorization	55680
