state	program	spending
Colorado	Livestock Forage Disaster Program	227565647
Colorado	Livestock Compensation Program	29745553
Colorado	Emergency Livestock Feed Assistance	22244845
Colorado	Cattle Feed Program - Nonfat Milk	18688415
Colorado	Livestock Indemnity Payments	10954705
Colorado	Market Facilitation Program - Dairy and Hogs	6678294
Colorado	Livestock Emergency Assistance Program	5452356
Colorado	Small Hog Operation	247947
Colorado	American Indian Livestock Feed Program	93849
Colorado	Market Facilitation Program - Hogs	73720
