state	program	spending
South Dakota	Livestock Forage Disaster Program	361039675
South Dakota	Livestock Indemnity Payments	133913936
South Dakota	Livestock Compensation Program	72542009
South Dakota	Cattle Feed Program - Nonfat Milk	47769495
South Dakota	Emergency Livestock Feed Assistance	44092156
South Dakota	Livestock Emergency Assistance Program	24877623
South Dakota	Market Facilitation Program - Dairy and Hogs	18458433
South Dakota	Livestock Relief	8964915
South Dakota	Market Facilitation Program - Hogs	7732006
South Dakota	Small Hog Operation	4711575
South Dakota	American Indian Livestock Feed Program	4346146
South Dakota	Emergency Feed Grain Donation	3224203
