state	program	spending
Wyoming	Livestock Forage Disaster Program	173394992
Wyoming	Emergency Livestock Feed Assistance	26829913
Wyoming	Livestock Compensation Program	25500761
Wyoming	Cattle Feed Program - Nonfat Milk	18333657
Wyoming	Livestock Indemnity Payments	11281894
Wyoming	Livestock Emergency Assistance Program	9313802
Wyoming	American Indian Livestock Feed Program	787283
Wyoming	Market Facilitation Program - Dairy and Hogs	240765
Wyoming	Livestock Relief	186636
Wyoming	Small Hog Operation	27511
Wyoming	Market Facilitation Program - Hogs	3464
