state	year	spending
Alabama	1995	2909611
Alabama	1996	4261003
Alabama	1997	40372
Alabama	1998	5680
Alabama	1999	12675965
Alabama	2000	7253085
Alabama	2001	30185748
Alabama	2002	21375235
Alabama	2003	839312
Alabama	2004	164479
Alabama	2005	0
Alabama	2006	264700
Alabama	2007	4733081
Alabama	2008	4463004
Alabama	2009	7421443
Alabama	2010	3848124
Alabama	2011	10209190
Alabama	2012	1072189
Alabama	2013	-37081
Alabama	2014	51533558
Alabama	2015	4149247
Alabama	2016	27122590
Alabama	2017	69644404
Alabama	2018	9366512
Alabama	2019	2090112
Alabama	2020	8338108
