state	year	spending
Arizona	1995	182225
Arizona	1996	940761
Arizona	1997	553275
Arizona	1998	-124
Arizona	1999	1280482
Arizona	2000	1786010
Arizona	2001	4131801
Arizona	2002	5716116
Arizona	2003	3050869
Arizona	2004	995625
Arizona	2005	4487027
Arizona	2006	131082
Arizona	2007	41747
Arizona	2008	1170386
Arizona	2009	47052
Arizona	2010	4691230
Arizona	2011	5444496
Arizona	2012	1057301
Arizona	2013	-24177
Arizona	2014	26066637
Arizona	2015	23444692
Arizona	2016	3158777
Arizona	2017	754208
Arizona	2018	10210065
Arizona	2019	10413175
Arizona	2020	4069842
