state	year	spending
California	1995	2066586
California	1996	-43447
California	1997	1216617
California	1998	3053918
California	1999	251170
California	2000	1368019
California	2001	290728
California	2002	41899581
California	2003	23070568
California	2004	2543343
California	2005	8638721
California	2006	419208
California	2007	234604
California	2008	36709423
California	2009	6287368
California	2010	22409570
California	2011	2743322
California	2012	861514
California	2013	189062
California	2014	108842917
California	2015	66329864
California	2016	46577623
California	2017	22190774
California	2018	14405223
California	2019	51724327
California	2020	28840836
