state	year	spending
Connecticut	1995	0
Connecticut	1996	104845
Connecticut	1997	0
Connecticut	1998	0
Connecticut	1999	21802
Connecticut	2000	127159
Connecticut	2001	0
Connecticut	2002	0
Connecticut	2003	891684
Connecticut	2004	0
Connecticut	2005	0
Connecticut	2006	0
Connecticut	2007	0
Connecticut	2008	2773
Connecticut	2009	0
Connecticut	2010	12844
Connecticut	2011	41972
Connecticut	2012	14438
Connecticut	2013	0
Connecticut	2014	284
Connecticut	2015	0
Connecticut	2016	61
Connecticut	2017	2814
Connecticut	2018	94609
Connecticut	2019	588142
Connecticut	2020	245125
