state	year	spending
Florida	1995	0
Florida	1996	624736
Florida	1997	0
Florida	1998	140794
Florida	1999	8670623
Florida	2000	3024848
Florida	2001	17318794
Florida	2002	28860
Florida	2003	14665992
Florida	2004	291301
Florida	2005	5367755
Florida	2006	760373
Florida	2007	237974
Florida	2008	5232412
Florida	2009	91005
Florida	2010	11971958
Florida	2011	11448287
Florida	2012	2753633
Florida	2013	-60984
Florida	2014	46339439
Florida	2015	14314182
Florida	2016	3352389
Florida	2017	22860499
Florida	2018	15624541
Florida	2019	7155410
Florida	2020	13581865
