state	year	spending
Kansas	1995	196734
Kansas	1996	21368
Kansas	1997	0
Kansas	1998	1099258
Kansas	1999	4072719
Kansas	2000	12568
Kansas	2001	9965251
Kansas	2002	56403860
Kansas	2003	5399129
Kansas	2004	491187
Kansas	2005	6195001
Kansas	2006	62770
Kansas	2007	78656
Kansas	2008	10828658
Kansas	2009	1522857
Kansas	2010	2438496
Kansas	2011	4393346
Kansas	2012	1926080
Kansas	2013	-23356
Kansas	2014	479007082
Kansas	2015	70313800
Kansas	2016	3795455
Kansas	2017	3910017
Kansas	2018	53537990
Kansas	2019	25647810
Kansas	2020	8938670
