state	year	spending
Louisiana	1995	0
Louisiana	1996	1164063
Louisiana	1997	58671
Louisiana	1998	1985
Louisiana	1999	9134903
Louisiana	2000	4129762
Louisiana	2001	15036959
Louisiana	2002	9714168
Louisiana	2003	2471496
Louisiana	2004	-108
Louisiana	2005	-1469
Louisiana	2006	18898256
Louisiana	2007	1264971
Louisiana	2008	2946628
Louisiana	2009	1167045
Louisiana	2010	2520760
Louisiana	2011	6851194
Louisiana	2012	571157
Louisiana	2013	-137903
Louisiana	2014	16426883
Louisiana	2015	11556224
Louisiana	2016	16702650
Louisiana	2017	6774121
Louisiana	2018	4367667
Louisiana	2019	2983826
Louisiana	2020	821719
