state	year	spending
Massachusetts	1995	174795
Massachusetts	1996	271919
Massachusetts	1997	12232
Massachusetts	1998	0
Massachusetts	1999	75605
Massachusetts	2000	149565
Massachusetts	2001	0
Massachusetts	2002	0
Massachusetts	2003	985728
Massachusetts	2004	0
Massachusetts	2005	0
Massachusetts	2006	0
Massachusetts	2007	0
Massachusetts	2008	211782
Massachusetts	2009	0
Massachusetts	2010	202124
Massachusetts	2011	209008
Massachusetts	2012	168082
Massachusetts	2013	0
Massachusetts	2014	407979
Massachusetts	2015	210958
Massachusetts	2016	493627
Massachusetts	2017	528944
Massachusetts	2018	757093
Massachusetts	2019	2125554
Massachusetts	2020	129791
