state	year	spending
Minnesota	1995	874621
Minnesota	1996	1063156
Minnesota	1997	10165023
Minnesota	1998	91257
Minnesota	1999	12802706
Minnesota	2000	256807
Minnesota	2001	9270
Minnesota	2002	1770804
Minnesota	2003	29540778
Minnesota	2004	3919
Minnesota	2005	2067352
Minnesota	2006	42844
Minnesota	2007	433615
Minnesota	2008	4328010
Minnesota	2009	265369
Minnesota	2010	1246938
Minnesota	2011	3573128
Minnesota	2012	2436805
Minnesota	2013	26312
Minnesota	2014	15800898
Minnesota	2015	3543578
Minnesota	2016	1596601
Minnesota	2017	1352171
Minnesota	2018	33239402
Minnesota	2019	56370378
Minnesota	2020	20282847
