state	year	spending
Mississippi	1995	0
Mississippi	1996	727235
Mississippi	1997	0
Mississippi	1998	0
Mississippi	1999	7928907
Mississippi	2000	6355335
Mississippi	2001	17311897
Mississippi	2002	1774
Mississippi	2003	12442072
Mississippi	2004	-1789
Mississippi	2005	0
Mississippi	2006	2120926
Mississippi	2007	1428107
Mississippi	2008	3960268
Mississippi	2009	91264
Mississippi	2010	287512
Mississippi	2011	3612197
Mississippi	2012	4581485
Mississippi	2013	3193
Mississippi	2014	6081484
Mississippi	2015	10547908
Mississippi	2016	18928104
Mississippi	2017	18141497
Mississippi	2018	1165956
Mississippi	2019	755926
Mississippi	2020	308548
