state	year	spending
Montana	1995	519584
Montana	1996	-4995
Montana	1997	4466368
Montana	1998	150143
Montana	1999	16379551
Montana	2000	7100122
Montana	2001	41933452
Montana	2002	35090927
Montana	2003	10222960
Montana	2004	4568006
Montana	2005	30936634
Montana	2006	1054751
Montana	2007	131273
Montana	2008	9485343
Montana	2009	4240483
Montana	2010	8376687
Montana	2011	2432918
Montana	2012	2216280
Montana	2013	114308
Montana	2014	45044079
Montana	2015	22770806
Montana	2016	12596958
Montana	2017	41854698
Montana	2018	41891091
Montana	2019	14243977
Montana	2020	3021958
