state	year	spending
Nebraska	1995	1254957
Nebraska	1996	-513
Nebraska	1997	2006715
Nebraska	1998	83238
Nebraska	1999	14525367
Nebraska	2000	692260
Nebraska	2001	28633017
Nebraska	2002	116861131
Nebraska	2003	1044845
Nebraska	2004	313192
Nebraska	2005	10619689
Nebraska	2006	123259
Nebraska	2007	1081621
Nebraska	2008	15967759
Nebraska	2009	1166867
Nebraska	2010	2782401
Nebraska	2011	1196364
Nebraska	2012	385062
Nebraska	2013	-42580
Nebraska	2014	539282018
Nebraska	2015	26205373
Nebraska	2016	3878785
Nebraska	2017	1342297
Nebraska	2018	9544879
Nebraska	2019	26952417
Nebraska	2020	19884747
