state	year	spending
New York	1995	1098444
New York	1996	3162585
New York	1997	44754
New York	1998	229006
New York	1999	156763
New York	2000	1076183
New York	2001	156284
New York	2002	25252505
New York	2003	204190
New York	2004	802
New York	2005	77082
New York	2006	412
New York	2007	18640
New York	2008	4191527
New York	2009	133659
New York	2010	415392
New York	2011	339966
New York	2012	197246
New York	2013	-3
New York	2014	454094
New York	2015	512154
New York	2016	1179884
New York	2017	2316568
New York	2018	1077526
New York	2019	17067904
New York	2020	6372621
