state	year	spending
Oklahoma	1995	3360862
Oklahoma	1996	-91372
Oklahoma	1997	-3527
Oklahoma	1998	250678
Oklahoma	1999	52706230
Oklahoma	2000	21851202
Oklahoma	2001	39634873
Oklahoma	2002	62542704
Oklahoma	2003	9320795
Oklahoma	2004	1232236
Oklahoma	2005	33758804
Oklahoma	2006	518195
Oklahoma	2007	8869568
Oklahoma	2008	19960524
Oklahoma	2009	2097157
Oklahoma	2010	5886499
Oklahoma	2011	71093935
Oklahoma	2012	8975398
Oklahoma	2013	-405244
Oklahoma	2014	891707118
Oklahoma	2015	349200591
Oklahoma	2016	48285094
Oklahoma	2017	13227104
Oklahoma	2018	100320938
Oklahoma	2019	36954381
Oklahoma	2020	5216590
