state	year	spending
Rhode Island	1995	0
Rhode Island	1996	12976
Rhode Island	1997	0
Rhode Island	1998	0
Rhode Island	1999	6407
Rhode Island	2000	12083
Rhode Island	2001	0
Rhode Island	2002	78906
Rhode Island	2003	4566
Rhode Island	2004	0
Rhode Island	2005	0
Rhode Island	2006	0
Rhode Island	2007	0
Rhode Island	2008	0
Rhode Island	2009	0
Rhode Island	2010	0
Rhode Island	2011	4590
Rhode Island	2012	0
Rhode Island	2013	0
Rhode Island	2014	0
Rhode Island	2015	0
Rhode Island	2016	0
Rhode Island	2017	21587
Rhode Island	2018	6607
Rhode Island	2019	26616
Rhode Island	2020	11585
