state	year	spending
Tennessee	1995	322705
Tennessee	1996	1484570
Tennessee	1997	23955
Tennessee	1998	20231
Tennessee	1999	6891748
Tennessee	2000	11275601
Tennessee	2001	15853647
Tennessee	2002	19261993
Tennessee	2003	9251133
Tennessee	2004	44220
Tennessee	2005	0
Tennessee	2006	0
Tennessee	2007	2284195
Tennessee	2008	10898718
Tennessee	2009	11544434
Tennessee	2010	1526243
Tennessee	2011	369955
Tennessee	2012	33860
Tennessee	2013	7722
Tennessee	2014	11121367
Tennessee	2015	1694697
Tennessee	2016	6129879
Tennessee	2017	29688515
Tennessee	2018	41847
Tennessee	2019	2569989
Tennessee	2020	1359355
