state	year	spending
Texas	1995	14111789
Texas	1996	47303160
Texas	1997	16957008
Texas	1998	21081
Texas	1999	99862305
Texas	2000	41174948
Texas	2001	92060994
Texas	2002	65965476
Texas	2003	54445543
Texas	2004	5005263
Texas	2005	18726351
Texas	2006	664686
Texas	2007	4083804
Texas	2008	39786709
Texas	2009	41638467
Texas	2010	68012361
Texas	2011	90356088
Texas	2012	9813907
Texas	2013	-2627365
Texas	2014	651108995
Texas	2015	408670074
Texas	2016	90262097
Texas	2017	19766959
Texas	2018	77478688
Texas	2019	50716503
Texas	2020	53564486
