state	year	spending
Vermont	1995	46912
Vermont	1996	20198
Vermont	1997	4080
Vermont	1998	16157
Vermont	1999	5534
Vermont	2000	424034
Vermont	2001	0
Vermont	2002	6078425
Vermont	2003	81277
Vermont	2004	70431
Vermont	2005	105935
Vermont	2006	0
Vermont	2007	0
Vermont	2008	3238722
Vermont	2009	3450
Vermont	2010	0
Vermont	2011	31886
Vermont	2012	135463
Vermont	2013	0
Vermont	2014	10735
Vermont	2015	27384
Vermont	2016	1324
Vermont	2017	33740
Vermont	2018	131770
Vermont	2019	3559928
Vermont	2020	1426037
