state	year	spending
Virginia	1995	123348
Virginia	1996	254071
Virginia	1997	100
Virginia	1998	0
Virginia	1999	5647502
Virginia	2000	6523634
Virginia	2001	4388
Virginia	2002	10613343
Virginia	2003	8562333
Virginia	2004	161732
Virginia	2005	-1211
Virginia	2006	0
Virginia	2007	1924791
Virginia	2008	6128967
Virginia	2009	15467
Virginia	2010	2438472
Virginia	2011	917873
Virginia	2012	70996
Virginia	2013	-1667
Virginia	2014	660293
Virginia	2015	1992569
Virginia	2016	344462
Virginia	2017	155695
Virginia	2018	310123
Virginia	2019	2113466
Virginia	2020	672202
