state	year	spending
Wisconsin	1995	-6577
Wisconsin	1996	-868
Wisconsin	1997	-986
Wisconsin	1998	-140
Wisconsin	1999	3097765
Wisconsin	2000	8423
Wisconsin	2001	23974
Wisconsin	2002	9423
Wisconsin	2003	40870616
Wisconsin	2004	94
Wisconsin	2005	582307
Wisconsin	2006	5008
Wisconsin	2007	411523
Wisconsin	2008	4402507
Wisconsin	2009	308969
Wisconsin	2010	473240
Wisconsin	2011	544598
Wisconsin	2012	267072
Wisconsin	2013	-3457
Wisconsin	2014	13233577
Wisconsin	2015	2119418
Wisconsin	2016	516678
Wisconsin	2017	365461
Wisconsin	2018	2237259
Wisconsin	2019	37711422
Wisconsin	2020	13554139
