state	year	spending
Wyoming	1995	2030647
Wyoming	1996	-9787
Wyoming	1997	2400548
Wyoming	1998	51627
Wyoming	1999	2540064
Wyoming	2000	30
Wyoming	2001	7601943
Wyoming	2002	38042752
Wyoming	2003	1339097
Wyoming	2004	440904
Wyoming	2005	15030777
Wyoming	2006	749461
Wyoming	2007	291274
Wyoming	2008	5462093
Wyoming	2009	2078916
Wyoming	2010	3633695
Wyoming	2011	960922
Wyoming	2012	777584
Wyoming	2013	3813
Wyoming	2014	124103055
Wyoming	2015	31417494
Wyoming	2016	9143091
Wyoming	2017	6117330
Wyoming	2018	3121136
Wyoming	2019	5523522
Wyoming	2020	3048692
