state	program	spending
Montana	Livestock Forage Disaster Program	158606678
Montana	Emergency Livestock Feed Assistance	96325377
Montana	Livestock Compensation Program	44452429
Montana	Livestock Indemnity Payments	31135656
Montana	American Indian Livestock Feed Program	15465329
Montana	Livestock Emergency Assistance Program	9345349
Montana	Market Facilitation Program - Dairy and Hogs	2859774
Montana	Market Facilitation Program - Hogs	1541097
Montana	Livestock Relief	744636
Montana	Small Hog Operation	261606
Montana	Livestock Indemnity - Trust Fund	100433
