state	program	spending
Nebraska	Livestock Forage Disaster Program	556737830
Nebraska	Livestock Compensation Program	82114629
Nebraska	Cattle Feed Program - Nonfat Milk	51241055
Nebraska	Livestock Indemnity Payments	46215701
Nebraska	Emergency Livestock Feed Assistance	43004611
Nebraska	Market Facilitation Program - Dairy and Hogs	17313359
Nebraska	Small Hog Operation	12380732
Nebraska	Livestock Emergency Assistance Program	8163484
Nebraska	Market Facilitation Program - Hogs	7355901
Nebraska	Livestock Relief	1234709
Nebraska	American Indian Livestock Feed Program	23155
