state	program	spending
North Dakota	Livestock Forage Disaster Program	110612781
North Dakota	Livestock Indemnity Payments	46331116
North Dakota	Livestock Compensation Program	35958225
North Dakota	Emergency Livestock Feed Assistance	14296185
North Dakota	Livestock Emergency Assistance Program	12372089
North Dakota	Livestock Relief	5686693
North Dakota	American Indian Livestock Feed Program	2006398
North Dakota	Market Facilitation Program - Dairy and Hogs	1682383
North Dakota	Small Hog Operation	678618
North Dakota	Market Facilitation Program - Hogs	403240
North Dakota	Emergency Feed Grain Donation	281078
