state	program	spending
Oklahoma	Livestock Forage Disaster Program	1517834968
Oklahoma	Emergency Livestock Feed Assistance	153286019
Oklahoma	Livestock Compensation Program	92575492
Oklahoma	Livestock Indemnity Payments	12294970
Oklahoma	Livestock Emergency Assistance Program	6027203
Oklahoma	American Indian Livestock Feed Program	2721512
Oklahoma	Market Facilitation Program - Dairy and Hogs	1153315
Oklahoma	Small Hog Operation	318022
Oklahoma	Market Facilitation Program - Hogs	148240
Oklahoma	Livestock Indemnity-contract Growers	99776
Oklahoma	Livestock Indemnity Prog - Authorization	11817
