state	year	spending
District Of Columbia	2008	19466574541
District Of Columbia	2009	26798236238
District Of Columbia	2010	28100199667
District Of Columbia	2011	26967103121
District Of Columbia	2012	25236974585
District Of Columbia	2013	21793964987
District Of Columbia	2014	25151701347
District Of Columbia	2015	29309624525
District Of Columbia	2016	29724577715
District Of Columbia	2017	34079368502
District Of Columbia	2018	34665522688
District Of Columbia	2019	34511009696
District Of Columbia	2020	43529921347
District Of Columbia	2021	54288685647
District Of Columbia	2022	51150946173
District Of Columbia	2023	7587729540
