state	year	spending
Massachusetts	2008	28820187219
Massachusetts	2009	51077929043
Massachusetts	2010	50671213014
Massachusetts	2011	60529669299
Massachusetts	2012	59645657677
Massachusetts	2013	62137362855
Massachusetts	2014	49301783812
Massachusetts	2015	57084083933
Massachusetts	2016	60946605090
Massachusetts	2017	63270855386
Massachusetts	2018	67716423455
Massachusetts	2019	71117012099
Massachusetts	2020	101256951415
Massachusetts	2021	113976426070
Massachusetts	2022	88904094715
Massachusetts	2023	21244854361
