state	year	spending
New Hampshire	2008	5203201062
New Hampshire	2009	7890924871
New Hampshire	2010	7241536869
New Hampshire	2011	8760367036
New Hampshire	2012	9282140130
New Hampshire	2013	9427785218
New Hampshire	2014	7841194088
New Hampshire	2015	8553275600
New Hampshire	2016	9043168670
New Hampshire	2017	10691152717
New Hampshire	2018	11235428299
New Hampshire	2019	12036975356
New Hampshire	2020	16320807267
New Hampshire	2021	16911193439
New Hampshire	2022	13639307118
New Hampshire	2023	3336969089
