state	year	spending
North Carolina	2008	27756205156
North Carolina	2009	59939408158
North Carolina	2010	53852836020
North Carolina	2011	78688299643
North Carolina	2012	82369450092
North Carolina	2013	80115916260
North Carolina	2014	52628857538
North Carolina	2015	56825132646
North Carolina	2016	58990235246
North Carolina	2017	67695364549
North Carolina	2018	71697307434
North Carolina	2019	76962031434
North Carolina	2020	105182945907
North Carolina	2021	117763108941
North Carolina	2022	98398730882
North Carolina	2023	26612019730
