state	year	spending
Pennsylvania	2008	53145348175
Pennsylvania	2009	82026490697
Pennsylvania	2010	82166961806
Pennsylvania	2011	92017841918
Pennsylvania	2012	93408969819
Pennsylvania	2013	91680108463
Pennsylvania	2014	84974789910
Pennsylvania	2015	186844872005
Pennsylvania	2016	191265876513
Pennsylvania	2017	202626369723
Pennsylvania	2018	209147931705
Pennsylvania	2019	219393817709
Pennsylvania	2020	279247872335
Pennsylvania	2021	262793457736
Pennsylvania	2022	231164861385
Pennsylvania	2023	64430904605
