state	year	spending
South Carolina	2008	19333998332
South Carolina	2009	48315990762
South Carolina	2010	38068278503
South Carolina	2011	74755163764
South Carolina	2012	77454132640
South Carolina	2013	76551417565
South Carolina	2014	29522434934
South Carolina	2015	71592349859
South Carolina	2016	74923232438
South Carolina	2017	79967677969
South Carolina	2018	98785541090
South Carolina	2019	110043935419
South Carolina	2020	133983038554
South Carolina	2021	124880560842
South Carolina	2022	110289145096
South Carolina	2023	30039073457
