state	year	spending
West Virginia	2008	7280407214
West Virginia	2009	12563071715
West Virginia	2010	13304900437
West Virginia	2011	13798825017
West Virginia	2012	13972920763
West Virginia	2013	14285021481
West Virginia	2014	13111933123
West Virginia	2015	14440956272
West Virginia	2016	14005168269
West Virginia	2017	17164814199
West Virginia	2018	16980194821
West Virginia	2019	18010484393
West Virginia	2020	23395529130
West Virginia	2021	26035498333
West Virginia	2022	22082981994
West Virginia	2023	6455068884
