state	year	spending
Alabama	1995	0
Alabama	1996	0
Alabama	1997	0
Alabama	1998	0
Alabama	1999	0
Alabama	2000	0
Alabama	2001	0
Alabama	2002	0
Alabama	2003	0
Alabama	2004	0
Alabama	2005	0
Alabama	2006	0
Alabama	2007	0
Alabama	2008	0
Alabama	2009	7305841
Alabama	2010	3441024
Alabama	2011	8635771
Alabama	2012	996360
Alabama	2013	-37080
Alabama	2014	51067352
Alabama	2015	3840132
Alabama	2016	26683777
Alabama	2017	69436261
Alabama	2018	9262258
Alabama	2019	1833860
Alabama	2020	8395025
Alabama	2021	44359
