state	year	spending
Arizona	1995	0
Arizona	1996	0
Arizona	1997	0
Arizona	1998	0
Arizona	1999	0
Arizona	2000	0
Arizona	2001	0
Arizona	2002	0
Arizona	2003	0
Arizona	2004	0
Arizona	2005	0
Arizona	2006	0
Arizona	2007	0
Arizona	2008	0
Arizona	2009	43676
Arizona	2010	4357101
Arizona	2011	5281604
Arizona	2012	764786
Arizona	2013	-24177
Arizona	2014	25122445
Arizona	2015	22794160
Arizona	2016	2417998
Arizona	2017	340170
Arizona	2018	8817176
Arizona	2019	5064708
Arizona	2020	10321184
Arizona	2021	13332552
