state	year	spending
Arkansas	1995	0
Arkansas	1996	0
Arkansas	1997	0
Arkansas	1998	0
Arkansas	1999	0
Arkansas	2000	0
Arkansas	2001	0
Arkansas	2002	0
Arkansas	2003	0
Arkansas	2004	0
Arkansas	2005	0
Arkansas	2006	0
Arkansas	2007	0
Arkansas	2008	0
Arkansas	2009	0
Arkansas	2010	131372
Arkansas	2011	7468414
Arkansas	2012	1502618
Arkansas	2013	-9218
Arkansas	2014	156321336
Arkansas	2015	22861276
Arkansas	2016	8257446
Arkansas	2017	1024628
Arkansas	2018	8418661
Arkansas	2019	160515
Arkansas	2020	448842
Arkansas	2021	1365370
