state	year	spending
California	1995	0
California	1996	0
California	1997	0
California	1998	0
California	1999	0
California	2000	0
California	2001	0
California	2002	0
California	2003	0
California	2004	0
California	2005	0
California	2006	0
California	2007	0
California	2008	0
California	2009	5843512
California	2010	19727746
California	2011	1901682
California	2012	460791
California	2013	163640
California	2014	104852861
California	2015	63327340
California	2016	43907044
California	2017	18732024
California	2018	4445277
California	2019	2504090
California	2020	7064498
California	2021	32785744
