state	year	spending
Colorado	1995	0
Colorado	1996	0
Colorado	1997	0
Colorado	1998	0
Colorado	1999	0
Colorado	2000	0
Colorado	2001	0
Colorado	2002	0
Colorado	2003	0
Colorado	2004	0
Colorado	2005	0
Colorado	2006	0
Colorado	2007	0
Colorado	2008	0
Colorado	2009	1346974
Colorado	2010	2992993
Colorado	2011	11166320
Colorado	2012	1707691
Colorado	2013	-17644
Colorado	2014	138800043
Colorado	2015	42166675
Colorado	2016	47163
Colorado	2017	-282131
Colorado	2018	19385162
Colorado	2019	9348003
Colorado	2020	18095179
Colorado	2021	39313142
