state	year	spending
District Of Columbia	1995	0
District Of Columbia	1996	0
District Of Columbia	1997	0
District Of Columbia	1998	0
District Of Columbia	1999	0
District Of Columbia	2000	0
District Of Columbia	2001	0
District Of Columbia	2002	0
District Of Columbia	2003	0
District Of Columbia	2004	0
District Of Columbia	2005	0
District Of Columbia	2006	0
District Of Columbia	2007	0
District Of Columbia	2008	0
District Of Columbia	2009	0
District Of Columbia	2010	0
District Of Columbia	2011	0
District Of Columbia	2012	0
District Of Columbia	2013	0
District Of Columbia	2014	0
District Of Columbia	2015	0
District Of Columbia	2016	0
District Of Columbia	2017	0
District Of Columbia	2018	0
District Of Columbia	2019	0
District Of Columbia	2020	0
District Of Columbia	2021	0
