state	year	spending
Georgia	1995	0
Georgia	1996	0
Georgia	1997	0
Georgia	1998	0
Georgia	1999	0
Georgia	2000	0
Georgia	2001	0
Georgia	2002	0
Georgia	2003	0
Georgia	2004	0
Georgia	2005	0
Georgia	2006	0
Georgia	2007	0
Georgia	2008	0
Georgia	2009	14673537
Georgia	2010	1613651
Georgia	2011	10239372
Georgia	2012	439066
Georgia	2013	-28370
Georgia	2014	73992223
Georgia	2015	8112752
Georgia	2016	24753122
Georgia	2017	22769701
Georgia	2018	455266
Georgia	2019	2946942
Georgia	2020	5261454
Georgia	2021	5847
