state	year	spending
Kentucky	1995	0
Kentucky	1996	0
Kentucky	1997	0
Kentucky	1998	0
Kentucky	1999	0
Kentucky	2000	0
Kentucky	2001	0
Kentucky	2002	0
Kentucky	2003	0
Kentucky	2004	0
Kentucky	2005	0
Kentucky	2006	0
Kentucky	2007	0
Kentucky	2008	0
Kentucky	2009	1635617
Kentucky	2010	4924781
Kentucky	2011	386413
Kentucky	2012	11040
Kentucky	2013	0
Kentucky	2014	19864157
Kentucky	2015	1161367
Kentucky	2016	86006
Kentucky	2017	249594
Kentucky	2018	4653
Kentucky	2019	234487
Kentucky	2020	520658
Kentucky	2021	56441
