state	year	spending
Louisiana	1995	0
Louisiana	1996	0
Louisiana	1997	0
Louisiana	1998	0
Louisiana	1999	0
Louisiana	2000	0
Louisiana	2001	0
Louisiana	2002	0
Louisiana	2003	0
Louisiana	2004	0
Louisiana	2005	0
Louisiana	2006	0
Louisiana	2007	0
Louisiana	2008	0
Louisiana	2009	0
Louisiana	2010	1439226
Louisiana	2011	6809673
Louisiana	2012	513504
Louisiana	2013	-137903
Louisiana	2014	15040700
Louisiana	2015	11378347
Louisiana	2016	14645500
Louisiana	2017	5325388
Louisiana	2018	2916429
Louisiana	2019	790458
Louisiana	2020	2219
Louisiana	2021	0
