state	year	spending
Massachusetts	1995	0
Massachusetts	1996	0
Massachusetts	1997	0
Massachusetts	1998	0
Massachusetts	1999	0
Massachusetts	2000	0
Massachusetts	2001	0
Massachusetts	2002	0
Massachusetts	2003	0
Massachusetts	2004	0
Massachusetts	2005	0
Massachusetts	2006	0
Massachusetts	2007	0
Massachusetts	2008	0
Massachusetts	2009	0
Massachusetts	2010	0
Massachusetts	2011	0
Massachusetts	2012	0
Massachusetts	2013	0
Massachusetts	2014	0
Massachusetts	2015	0
Massachusetts	2016	223827
Massachusetts	2017	308113
Massachusetts	2018	-1
Massachusetts	2019	0
Massachusetts	2020	18216
Massachusetts	2021	263700
