state	year	spending
Minnesota	1995	0
Minnesota	1996	0
Minnesota	1997	0
Minnesota	1998	0
Minnesota	1999	0
Minnesota	2000	0
Minnesota	2001	0
Minnesota	2002	0
Minnesota	2003	0
Minnesota	2004	0
Minnesota	2005	0
Minnesota	2006	0
Minnesota	2007	0
Minnesota	2008	0
Minnesota	2009	0
Minnesota	2010	1772
Minnesota	2011	813
Minnesota	2012	0
Minnesota	2013	0
Minnesota	2014	13815727
Minnesota	2015	1669616
Minnesota	2016	11666
Minnesota	2017	0
Minnesota	2018	0
Minnesota	2019	123
Minnesota	2020	0
Minnesota	2021	7345309
