state	year	spending
Mississippi	1995	0
Mississippi	1996	0
Mississippi	1997	0
Mississippi	1998	0
Mississippi	1999	0
Mississippi	2000	0
Mississippi	2001	0
Mississippi	2002	0
Mississippi	2003	0
Mississippi	2004	0
Mississippi	2005	0
Mississippi	2006	0
Mississippi	2007	0
Mississippi	2008	0
Mississippi	2009	0
Mississippi	2010	88651
Mississippi	2011	3262201
Mississippi	2012	4426022
Mississippi	2013	2928
Mississippi	2014	5655035
Mississippi	2015	10204087
Mississippi	2016	18631233
Mississippi	2017	18017231
Mississippi	2018	792835
Mississippi	2019	0
Mississippi	2020	32755
Mississippi	2021	77508
