state	year	spending
Missouri	1995	0
Missouri	1996	0
Missouri	1997	0
Missouri	1998	0
Missouri	1999	0
Missouri	2000	0
Missouri	2001	0
Missouri	2002	0
Missouri	2003	0
Missouri	2004	0
Missouri	2005	0
Missouri	2006	0
Missouri	2007	0
Missouri	2008	0
Missouri	2009	1363
Missouri	2010	0
Missouri	2011	999642
Missouri	2012	118736
Missouri	2013	0
Missouri	2014	309068171
Missouri	2015	8920502
Missouri	2016	-30591
Missouri	2017	-21824
Missouri	2018	65449418
Missouri	2019	11287669
Missouri	2020	2440585
Missouri	2021	15532600
