state	year	spending
Montana	1995	0
Montana	1996	0
Montana	1997	0
Montana	1998	0
Montana	1999	0
Montana	2000	0
Montana	2001	0
Montana	2002	0
Montana	2003	0
Montana	2004	0
Montana	2005	0
Montana	2006	0
Montana	2007	0
Montana	2008	0
Montana	2009	2404793
Montana	2010	4651740
Montana	2011	96813
Montana	2012	55544
Montana	2013	-3823
Montana	2014	41705737
Montana	2015	21003630
Montana	2016	12103584
Montana	2017	41596347
Montana	2018	34764145
Montana	2019	173161
Montana	2020	500878
Montana	2021	60804167
