state	year	spending
New Mexico	1995	0
New Mexico	1996	0
New Mexico	1997	0
New Mexico	1998	0
New Mexico	1999	0
New Mexico	2000	0
New Mexico	2001	0
New Mexico	2002	0
New Mexico	2003	0
New Mexico	2004	0
New Mexico	2005	0
New Mexico	2006	0
New Mexico	2007	0
New Mexico	2008	0
New Mexico	2009	3563971
New Mexico	2010	5595355
New Mexico	2011	18703838
New Mexico	2012	3357829
New Mexico	2013	49310
New Mexico	2014	151650996
New Mexico	2015	21588409
New Mexico	2016	1461473
New Mexico	2017	-614017
New Mexico	2018	21114316
New Mexico	2019	7162801
New Mexico	2020	17915828
New Mexico	2021	37624131
