state	year	spending
North Carolina	1995	0
North Carolina	1996	0
North Carolina	1997	0
North Carolina	1998	0
North Carolina	1999	0
North Carolina	2000	0
North Carolina	2001	0
North Carolina	2002	0
North Carolina	2003	0
North Carolina	2004	0
North Carolina	2005	0
North Carolina	2006	0
North Carolina	2007	0
North Carolina	2008	0
North Carolina	2009	6521184
North Carolina	2010	793649
North Carolina	2011	386195
North Carolina	2012	168146
North Carolina	2013	0
North Carolina	2014	-89057
North Carolina	2015	257529
North Carolina	2016	929498
North Carolina	2017	2911021
North Carolina	2018	12355
North Carolina	2019	0
North Carolina	2020	1866
North Carolina	2021	0
