state	year	spending
North Dakota	1995	0
North Dakota	1996	0
North Dakota	1997	0
North Dakota	1998	0
North Dakota	1999	0
North Dakota	2000	0
North Dakota	2001	0
North Dakota	2002	0
North Dakota	2003	0
North Dakota	2004	0
North Dakota	2005	0
North Dakota	2006	0
North Dakota	2007	0
North Dakota	2008	0
North Dakota	2009	16074474
North Dakota	2010	12499299
North Dakota	2011	264044
North Dakota	2012	0
North Dakota	2013	0
North Dakota	2014	10638807
North Dakota	2015	1996128
North Dakota	2016	613085
North Dakota	2017	51265058
North Dakota	2018	14699842
North Dakota	2019	2562043
North Dakota	2020	79080
North Dakota	2021	55197800
