state	year	spending
Oklahoma	1995	0
Oklahoma	1996	0
Oklahoma	1997	0
Oklahoma	1998	0
Oklahoma	1999	0
Oklahoma	2000	0
Oklahoma	2001	0
Oklahoma	2002	0
Oklahoma	2003	0
Oklahoma	2004	0
Oklahoma	2005	0
Oklahoma	2006	0
Oklahoma	2007	0
Oklahoma	2008	0
Oklahoma	2009	1445955
Oklahoma	2010	4613859
Oklahoma	2011	69994059
Oklahoma	2012	8800579
Oklahoma	2013	-393060
Oklahoma	2014	891366963
Oklahoma	2015	348320628
Oklahoma	2016	45758298
Oklahoma	2017	10478172
Oklahoma	2018	98826135
Oklahoma	2019	34968650
Oklahoma	2020	25488203
Oklahoma	2021	34964808
