state	year	spending
Pennsylvania	1995	0
Pennsylvania	1996	0
Pennsylvania	1997	0
Pennsylvania	1998	0
Pennsylvania	1999	0
Pennsylvania	2000	0
Pennsylvania	2001	0
Pennsylvania	2002	0
Pennsylvania	2003	0
Pennsylvania	2004	0
Pennsylvania	2005	0
Pennsylvania	2006	0
Pennsylvania	2007	0
Pennsylvania	2008	0
Pennsylvania	2009	0
Pennsylvania	2010	0
Pennsylvania	2011	1567
Pennsylvania	2012	0
Pennsylvania	2013	0
Pennsylvania	2014	0
Pennsylvania	2015	0
Pennsylvania	2016	2581
Pennsylvania	2017	159577
Pennsylvania	2018	731
Pennsylvania	2019	0
Pennsylvania	2020	0
Pennsylvania	2021	0
