state	year	spending
Rhode Island	1995	0
Rhode Island	1996	0
Rhode Island	1997	0
Rhode Island	1998	0
Rhode Island	1999	0
Rhode Island	2000	0
Rhode Island	2001	0
Rhode Island	2002	0
Rhode Island	2003	0
Rhode Island	2004	0
Rhode Island	2005	0
Rhode Island	2006	0
Rhode Island	2007	0
Rhode Island	2008	0
Rhode Island	2009	0
Rhode Island	2010	0
Rhode Island	2011	0
Rhode Island	2012	0
Rhode Island	2013	0
Rhode Island	2014	0
Rhode Island	2015	0
Rhode Island	2016	0
Rhode Island	2017	21587
Rhode Island	2018	-1873
Rhode Island	2019	0
Rhode Island	2020	27163
Rhode Island	2021	17716
