state	year	spending
Tennessee	1995	0
Tennessee	1996	0
Tennessee	1997	0
Tennessee	1998	0
Tennessee	1999	0
Tennessee	2000	0
Tennessee	2001	0
Tennessee	2002	0
Tennessee	2003	0
Tennessee	2004	0
Tennessee	2005	0
Tennessee	2006	0
Tennessee	2007	0
Tennessee	2008	0
Tennessee	2009	11452892
Tennessee	2010	1320167
Tennessee	2011	87260
Tennessee	2012	6687
Tennessee	2013	0
Tennessee	2014	10544536
Tennessee	2015	306427
Tennessee	2016	5746761
Tennessee	2017	29525081
Tennessee	2018	-175966
Tennessee	2019	1292367
Tennessee	2020	805049
Tennessee	2021	0
