state	year	spending
Washington	1995	0
Washington	1996	0
Washington	1997	0
Washington	1998	0
Washington	1999	0
Washington	2000	0
Washington	2001	0
Washington	2002	0
Washington	2003	0
Washington	2004	0
Washington	2005	0
Washington	2006	0
Washington	2007	0
Washington	2008	0
Washington	2009	0
Washington	2010	434156
Washington	2011	38159
Washington	2012	0
Washington	2013	0
Washington	2014	673983
Washington	2015	4757147
Washington	2016	8559298
Washington	2017	281452
Washington	2018	85713
Washington	2019	286987
Washington	2020	512270
Washington	2021	6833103
