state	year	spending
West Virginia	1995	0
West Virginia	1996	0
West Virginia	1997	0
West Virginia	1998	0
West Virginia	1999	0
West Virginia	2000	0
West Virginia	2001	0
West Virginia	2002	0
West Virginia	2003	0
West Virginia	2004	0
West Virginia	2005	0
West Virginia	2006	0
West Virginia	2007	0
West Virginia	2008	0
West Virginia	2009	0
West Virginia	2010	45788
West Virginia	2011	574390
West Virginia	2012	0
West Virginia	2013	0
West Virginia	2014	0
West Virginia	2015	0
West Virginia	2016	0
West Virginia	2017	0
West Virginia	2018	0
West Virginia	2019	0
West Virginia	2020	0
West Virginia	2021	0
