state	year	spending
Wisconsin	1995	0
Wisconsin	1996	0
Wisconsin	1997	0
Wisconsin	1998	0
Wisconsin	1999	0
Wisconsin	2000	0
Wisconsin	2001	0
Wisconsin	2002	0
Wisconsin	2003	0
Wisconsin	2004	0
Wisconsin	2005	0
Wisconsin	2006	0
Wisconsin	2007	0
Wisconsin	2008	0
Wisconsin	2009	107139
Wisconsin	2010	203596
Wisconsin	2011	46596
Wisconsin	2012	1155
Wisconsin	2013	0
Wisconsin	2014	12305523
Wisconsin	2015	1460981
Wisconsin	2016	69473
Wisconsin	2017	13003
Wisconsin	2018	0
Wisconsin	2019	0
Wisconsin	2020	0
Wisconsin	2021	129653
