state	year	spending
Alabama	1995	0
Alabama	1996	0
Alabama	1997	0
Alabama	1998	0
Alabama	1999	0
Alabama	2000	0
Alabama	2001	0
Alabama	2002	9282750
Alabama	2003	54508182
Alabama	2004	42728973
Alabama	2005	42670950
Alabama	2006	42324175
Alabama	2007	41416284
Alabama	2008	42218532
Alabama	2009	39196394
Alabama	2010	40543671
Alabama	2011	39555688
Alabama	2012	38813919
Alabama	2013	35555271
Alabama	2014	103666
Alabama	2015	-42180
Alabama	2016	-29598
Alabama	2017	70062
Alabama	2018	0
Alabama	2019	0
Alabama	2020	0
Alabama	2021	0
