state	year	spending
Arizona	1995	0
Arizona	1996	0
Arizona	1997	0
Arizona	1998	0
Arizona	1999	0
Arizona	2000	0
Arizona	2001	0
Arizona	2002	5051534
Arizona	2003	44998264
Arizona	2004	36508565
Arizona	2005	35179189
Arizona	2006	34442570
Arizona	2007	33532535
Arizona	2008	35215594
Arizona	2009	31420589
Arizona	2010	33518345
Arizona	2011	30499086
Arizona	2012	26588514
Arizona	2013	26326150
Arizona	2014	792756
Arizona	2015	51
Arizona	2016	42058
Arizona	2017	0
Arizona	2018	0
Arizona	2019	0
Arizona	2020	0
Arizona	2021	0
