state	year	spending
Arkansas	1995	0
Arkansas	1996	0
Arkansas	1997	0
Arkansas	1998	0
Arkansas	1999	0
Arkansas	2000	0
Arkansas	2001	0
Arkansas	2002	19559540
Arkansas	2003	309723469
Arkansas	2004	255205928
Arkansas	2005	253886694
Arkansas	2006	250203561
Arkansas	2007	247973583
Arkansas	2008	249447208
Arkansas	2009	235220339
Arkansas	2010	245214484
Arkansas	2011	236621576
Arkansas	2012	228645894
Arkansas	2013	210599684
Arkansas	2014	4587832
Arkansas	2015	69825
Arkansas	2016	321528
Arkansas	2017	206375
Arkansas	2018	0
Arkansas	2019	0
Arkansas	2020	0
Arkansas	2021	0
