state	year	spending
California	1995	0
California	1996	0
California	1997	0
California	1998	0
California	1999	0
California	2000	0
California	2001	0
California	2002	12160445
California	2003	212801652
California	2004	175480530
California	2005	166907827
California	2006	159025481
California	2007	154267276
California	2008	158440025
California	2009	130415153
California	2010	142990064
California	2011	131640202
California	2012	111505122
California	2013	115514676
California	2014	567340
California	2015	52926
California	2016	445776
California	2017	207838
California	2018	0
California	2019	0
California	2020	0
California	2021	0
